카테고리,상품명,정상가(€),할인가(€),앱가격(€),할인율,용량 및 상품정보,추천 요리 및 활용법
Knüller der Woche,Spitzpaprika rot,2.29,1.49,1.29,-35% / -44%,500 g Packung | süß & knackig | Klasse I | statt 2.29 | 1.49*,"파프리카 다짐육 볶음, 라구 파스타, 구이 가니쉬"
Knüller der Woche,Frische Hähnchenunterkeulen / Hähnchenbrust,6.99,4.99,,-28%,"1 kg Packung | frisch, mager | Frischetheke/SB | statt 6.99 | 4.99*","얼큰 닭볶음탕, 닭다리 오븐구이, 치킨 웜 샐러드"
Knüller der Woche,Weihenstephan Die Streichzarte Butter,2.39,1.29,1.19,-46% / -50%,250 g Becher/Packung | gesalzen / ungesalzen | statt 2.39 | 1.29*,"토스트, 감자 버터구이, 파스타 풍미업"
Knüller der Woche,Wagner Steinofen Pizza / Flammkuchen,3.49,1.99,1.69,-43% / -51%,"320 g – 360 g | tiefgekühlt, versch. Sorten | UVP 3.49 | 1.99*","초간단 원팬 저녁, 치즈 피자"
Knüller der Woche,Melitta / Lavazza Kaffee gemahlen,8.49,5.99,5.49,-29% / -35%,500 g | 11.98 / kg | versch. Sorten | UVP 8.49 | 5.99*,"식후 브루잉 커피, 모닝 아메리카노"
Knüller der Woche,"Coca-Cola, Fanta, Sprite",1.59,1.00,,-37%,"1,25 l / 1,5 l PET | zzgl. 0.25€ Pfand | UVP 1.59 | 1.00*","시원한 탄산음료, 칵테일 믹서"
Knüller der Woche,Milram Käsescheiben,2.59,1.29,,-50%,125 g – 150 g | 8.60 - 10.32 / kg | versch. Sorten | statt 2.59 | 1.29*,"치즈 토스트, 그라탕, 샌드위치"
Knüller der Woche,Bauer Fruchtjoghurt oder Drink,0.99,0.49,0.44,-50% / -55%,250 g / 225 ml | versch. Sorten | statt 0.99 | 0.49*,"아침 간식, 샐러드 드레싱 베이스"
Knüller der Woche,Monster Energy Drink,1.49,0.88,0.77,-40% / -48%,"0,5 l Dose | 1.76 / l | zzgl. Pfand 0.25€ | UVP 1.49 | 0.88*",에너지 충전 음료
Knüller der Woche,Maggi Fix Würzmischung,1.09,0.49,,-55%,36 g – 40 g | versch. Sorten | statt 1.09 | 0.49*,"볼로네제 소스, 굴라쉬 찌개 베이스"
Knüller der Woche,Spaten Münchner Hell / Alkoholfrei,18.99,14.99,13.99,-21% / -26%,"20 x 0,5 l Kiste | 1.50 / l | zzgl. Pfand 3.10€ | UVP 18.99 | 14.99*",시원한 저녁 반주 맥주
Knüller der Woche,Frosta Fertiggerichte,3.99,2.49,2.22,-37% / -44%,"500 g Beutel | 4.98 / kg | tiefgekühlt, versch. Sorten | statt 3.99 | 2.49*",초간단 5분 완성 볶음밥 / 면 요리
Knüller der Woche,Wilkinson Sword Intuition Rasierklingen,9.99,6.99,,-30%,3er / 4er Packung | versch. Sorten | statt 9.99 | 6.99*,생활 필수용품
Obst & Gemüse,Zucchini grün,1.49,0.99,,-33%,1 kg | frisch aus Europa | statt 1.49 | 0.99*,"감자 호박 고추장찌개, 애호박전, 주키니 파스타"
Obst & Gemüse,Speisekartoffeln GUT&GÜNSTIG,2.99,2.00,,-33%,2.5 kg Beutel | 0.80 / kg | vorwiegend festkochend | 2.–*,"얼큰 고추장찌개, 감자조림, 웨지감자, 볶음"
Obst & Gemüse,Kohlrabi,0.99,0.59,,-40%,Stück | frisch & knackig | statt 0.99 | 0.59*,"아삭 달콤 콜라비 생채 (무생채 대용), 샐러드"
Obst & Gemüse,Möhren / Babykarotten,1.49,0.99,,-33%,1 kg Beutel / 200 g Schale | frisch | 0.99*,"찌개/카레 부재료, 당근 라페, 볶음"
Obst & Gemüse,EDEKA Bio Eisbergsalat,1.99,1.49,,-25%,"Stück | Bio-Qualität, knackig | statt 1.99 | 1.49*","치킨 웜 샐러드, 샌드위치 아삭 토핑"
Obst & Gemüse,Nektarinen / Pfirsiche,4.49,2.99,,-33%,1 kg | Spanien/Italien Kl. I | süß & saftig | statt 4.49 | 2.99*,"식후 생과일 디저트, 복숭아 요거트 볼"
Obst & Gemüse,Bananen Bio / Fairtrade,1.99,1.29,,-35%,"1 kg | Bio-Qualität, reif & süß | statt 1.99 | 1.29*","바나나 스무디, 아침 식사 대용"
Obst & Gemüse,Rispentomaten / Strauchtomaten,2.49,1.49,,-40%,"1 kg | rot & aromatisch, Kl. I | statt 2.49 | 1.49*","토마토 달걀 볶음, 카프레제 샐러드, 파스타"
Obst & Gemüse,Kulturheidelbeeren / Blaubeeren,4.99,3.49,2.99,-30% / -40%,500 g Schale | groß & süß | statt 4.99 | 3.49*,"블루베리 요거트 볼, 팬케이크 토핑"
Obst & Gemüse,Wassermelone kernarm,1.69,0.99,,-41%,1 kg | süß & erfrischend | statt 1.69 | 0.99*,"시원한 수박 화채, 수박 주스"
Obst & Gemüse,Salatgurken,0.99,0.59,,-40%,"Stück | Klasse I, knackig | statt 0.99 | 0.59*","오이무침, 오이냉국, 비빔밥 고명"
Obst & Gemüse,Lauchzwiebeln / Frühlingszwiebeln,0.79,0.49,,-38%,Bund | frisch & aromatisch | statt 0.79 | 0.49*,"파기름 볶음, 찌개 고명, 파절이"
Obst & Gemüse,Champignons weiß / braun,2.29,1.69,,-26%,400 g Schale | Frischetheke/SB | statt 2.29 | 1.69*,"버섯 볶음, 찌개 부재료, 버섯 구이"
Obst & Gemüse,Bio Zitronen / Limetten,1.99,1.29,,-35%,500 g Netz / 4er Pack | Bio | statt 1.99 | 1.29*,"레몬청, 샐러드 드레싱, 생선구이 즙"
Obst & Gemüse,Tafeltrauben hell / rot kernlos,2.99,1.99,,-33%,500 g Schale | süß & knackig | statt 2.99 | 1.99*,"신선 과일 간식, 치즈 플래터 곁들임"
Obst & Gemüse,Avocados Hass,1.49,0.99,,-33%,Stück | essreif | statt 1.49 | 0.99*,"과카몰리, 아보카도 명란 비빔밥, 샐러드"
Fleisch & Wurst,Frisches Hackfleisch gemischt,5.99,4.49,,-25%,500 g Packung | 8.98 / kg | Schwein & Rind | statt 5.99 | 4.49*,"고추장찌개 밑간고기, 라구 파스타 소스, 볶음밥"
Fleisch & Wurst,Rinderhackfleisch (mager),6.49,4.99,,-23%,500 g Packung | 9.98 / kg | 100% Rind | statt 6.49 | 4.99*,"소고기 패티, 소고기 볶음고추장, 마파두부"
Fleisch & Wurst,Frische Oberschalenschnitzel (Schwein),1.19,0.79,,-33%,100 g (7.90 / kg) | Frischetheke | zart | statt 1.19 | 0.79*,"수제 돈가스, 돼지고기 제육볶음, 찹스테이크"
Fleisch & Wurst,Hüftsteak vom Jungbullen,3.39,2.69,,-20%,100 g (26.90 / kg) | Frischetheke | gereift | statt 3.39 | 2.69*,"소고기 찹스테이크, 소고기 뭇국, 구이"
