"카테고리","상품명","비교결과","44369 가격","44369 앱가격","44369 할인","40468 가격","40468 앱가격","40468 할인","44369 상품정보","40468 상품정보"
"Knüller der Woche","Hähnchen-Brustfilet","동일","7.99","","-20%","7.99","","-20%","1 kg | mager | UVP 9.99 | 7.99*","1 kg | mager | UVP 9.99 | 7.99*"
"Knüller der Woche","Milram Käsescheiben","동일","1.29","","-50%","1.29","","-50%","125 g – 150 g | 8.60 - 10.32 / kg | gekühlt, versch. Sorten | statt 2.59 | 1.29*","125 g – 150 g | 8.60 - 10.32 / kg | gekühlt, versch. Sorten | statt 2.59 | 1.29*"
"Knüller der Woche","Bauer Fruchtjoghurt oder Yoghurtdrink","가격/표기 변경","0.49","","-50%","0.44","","-55%","225 g – 250 g; 225 ml | 1.76 - 1.96 / kg; 1.96 / l | gekühlt, versch. Sorten | Bisheriger 30 Tage Bestpreis: 0.44€ | statt 0.99 | 0.49*","225 g – 250 g; 225 ml | 1.76 - 1.96 / kg; 1.96 / l | gekühlt, versch. Sorten | UVP 0.99 | 0.44*"
"Knüller der Woche","Melitta Auslese, Harmonie oder Barista","동일","5.99","5.49","-35% / -29%","5.99","5.49","-35% / -29%","500 g | 11.98 / kg | Kaffee gemahlen, versch. Sorten | UVP 8.49 | 5.99* | 5.49* | (10.98 / kg)","500 g | 11.98 / kg | Kaffee gemahlen, versch. Sorten | UVP 8.49 | 5.99* | 5.49* | (10.98 / kg)"
"Knüller der Woche","Veltins Pilsener oder Alkoholfrei","44369에만","10.79","","-40%","","","","20 x 0,5 l / 24 x 0,33 l | 1.08 / 1.36 / l | zzgl. Pfand 3.10€ | UVP 17.99 | 10.79*",""
"Knüller der Woche","Monster Energy Drink","동일","0.88","0.77","-48% / -40%","0.88","0.77","-48% / -40%","0,5 l | 1.76 / l | zzgl. Pfand 0.25€ | taurin- & koffeinhaltig, versch. Sorten | UVP 1.49 | 0.88* | 0.77* | (1.54 / l)","0,5 l | 1.76 / l | zzgl. Pfand 0.25€ | taurin- & koffeinhaltig, versch. Sorten | UVP 1.49 | 0.88* | 0.77* | (1.54 / l)"
"Knüller der Woche","Milram Gewürzquark","동일","1.00","","-31%","1.00","","-31%","185 g | 5.41 / kg | gekühlt, versch. Sorten | statt 1.45 | 1.–*","185 g | 5.41 / kg | gekühlt, versch. Sorten | statt 1.45 | 1.–*"
"Knüller der Woche","Frikadellen","동일","1.99","","-33%","1.99","","-33%","500 g | 3.98 / kg | versch. Sorten | UVP 2.99 | 1.99*","500 g | 3.98 / kg | versch. Sorten | UVP 2.99 | 1.99*"
"Knüller der Woche","Wagner Steinofen Pizza oder Flammkuchen","동일","1.99","1.69","-51% / -42%","1.99","1.69","-51% / -42%","300 g – 360 g | 5.53 - 6.63 / kg | tiefgekühlt, versch. Sorten | UVP 3.49 | 1.99* | 1.69* | (4.69 - 5.63 / kg)","300 g – 360 g | 5.53 - 6.63 / kg | tiefgekühlt, versch. Sorten | UVP 3.49 | 1.99* | 1.69* | (4.69 - 5.63 / kg)"
"Knüller der Woche","Südzucker Feiner Rüben Zucker","44369에만","2.00","","-32%","","","","3 x 1 kg | 0.66 / kg | Einzelpreis: 0.99 | statt 2.97 | 2.–*",""
"Knüller der Woche","Maggi Fix","동일","0.49","","-55%","0.49","","-55%","36 g – 40 g | 12.25 - 13.61 / kg | versch. Sorten | statt 1.09 | 0.49*","36 g – 40 g | 12.25 - 13.61 / kg | versch. Sorten | statt 1.09 | 0.49*"
"Knüller der Woche","Gerolsteiner Mineralwasser","동일","4.99","","-26%","4.99","","-26%","12 x 0,75 l | 0.55 / l | zzgl. Pfand 3.30€ | versch. Sorten | statt 6.79 | 4.99*","12 x 0,75 l | 0.55 / l | zzgl. Pfand 3.30€ | versch. Sorten | statt 6.79 | 4.99*"
"Knüller der Woche","Harry Toastbrot","동일","1.49","","-21%","1.49","","-21%","500 g | 2.98 / kg | versch. Sorten | UVP 1.89 | 1.49*","500 g | 2.98 / kg | versch. Sorten | UVP 1.89 | 1.49*"
"Getränke","Spaten Münchner Hell oder Alkoholfrei","동일","14.99","13.99","-26% / -21%","14.99","13.99","-26% / -21%","20 x 0,5 l | 1.50 / l | zzgl. Pfand 3.10€ | UVP 18.99 | 14.99* | 13.99* | (1.40 / l)","20 x 0,5 l | 1.50 / l | zzgl. Pfand 3.10€ | statt 18.99 | 14.99* | 13.99* | (1.40 / l)"
"Getränke","Corona Extra Lager oder Corona Cero","동일","15.49","","-27%","15.49","","-27%","20 x 0,355 l | 2.18 / l | zzgl. Pfand 3.10€ | UVP 21.49 | 15.49*","20 x 0,355 l | 2.18 / l | zzgl. Pfand 3.10€ | UVP 21.49 | 15.49*"
"Getränke","Goldmalz","44369에만","7.99","","-20%","","","","20 x 0,5 l | 0.80 / l | zzgl. Pfand 3.10€ | alkoholfreies Malzgetränk | statt 9.99 | 7.99*",""
"Getränke","Krombacher Alkoholfrei 0,0% herb zuckerfrei oder Alkoholfrei 0,0%","동일","3.79","","-20%","3.79","","-20%","6 x 0,33 l | 1.91 / l | zzgl. Pfand 0.48€ | statt 4.79 | 3.79*","6 x 0,33 l | 1.91 / l | zzgl. Pfand 0.48€ | UVP 4.79 | 3.79*"
"Getränke","Heineken Premium Beer oder Alkoholfrei 0,0%","동일","4.99","4.49","-28% / -20%","4.99","4.49","-28% / -20%","6 x 0,33 l | 2.52 / l | zzgl. Pfand 0.48€ | UVP 6.29 | 4.99* | 4.49* | (2.27 / l)","6 x 0,33 l | 2.52 / l | zzgl. Pfand 0.48€ | UVP 6.29 | 4.99* | 4.49* | (2.27 / l)"
"Getränke","Carlsberg Lager Beer","동일","14.99","13.99","-30% / -25%","14.99","13.99","-30% / -25%","20 x 0,5 l | 1.50 / l | zzgl. Pfand 3.10€ | UVP 19.99 | 14.99* | 13.99* | (1.40 / l)","20 x 0,5 l | 1.50 / l | zzgl. Pfand 3.10€ | UVP 19.99 | 14.99* | 13.99* | (1.40 / l)"
"Getränke","Pils oder Export","44369에만","6.99","","-20%","","","","20 x 0,5 l | 0.70 / l | zzgl. Pfand 3.10€ | versch.Sorten | statt 8.79 | 6.99*",""
"Getränke","Franziskaner Premium Hefe Weißbier Naturtrüb","동일","14.99","","-28%","14.99","","-28%","20 x 0,5 l | 1.50 / l | zzgl. Pfand 3.10€ | UVP 20.99 | 14.99*","20 x 0,5 l | 1.50 / l | zzgl. Pfand 3.10€ | UVP 20.99 | 14.99*"
"Getränke","Brinkhoff’s Premium Pilsener No.1","44369에만","11.49","","-20%","","","","20 x 0,5 l | 1.15 / l | zzgl. Pfand 3.10€ | UVP 14.49 | 11.49*",""
"Getränke","Veltins Fassbrause","동일","3.99","","","3.99","","","6 x 0,33 – 1,98 l | 0.34 - 2.02 / l | zzgl. Pfand 0.48€ | versch. Sorten | Aktion | 3.99*","6 x 0,33 – 1,98 l | 0.34 - 2.02 / l | zzgl. Pfand 0.48€ | versch. Sorten | Aktion | 3.99*"
"Getränke","Paulaner Cola","동일","3.99","","-20%","3.99","","-20%","6 x 0,33 l | 2.02 / l | zzgl. Pfand 0.48€ | koffeinhaltig | UVP 4.99 | 3.99*","6 x 0,33 l | 2.02 / l | zzgl. Pfand 0.48€ | koffeinhaltig | UVP 4.99 | 3.99*"
"Getränke","Krombacher Spezi","동일","11.99","","","11.99","","","20 x 0,5 l | 1.20 / l | zzgl. Pfand 3.10€ | koffeinhaltig | Aktion | 11.99*","20 x 0,5 l | 1.20 / l | zzgl. Pfand 3.10€ | koffeinhaltig | Aktion | 11.99*"
"Getränke","Syburg Limonaden","44369에만","3.49","","-22%","","","","12 x 0,7 l | 0.42 / l | zzgl. Pfand 3.30€ | Zitrone oder Orange | statt 4.49 | 3.49*",""
"Getränke","Saft oder Nektar","동일","1.29","1.11","-44% / -35%","1.29","1.11","-44% / -35%","1 l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.99 | 1.29* | 1.11*","1 l | zzgl. Pfand 0.25€ | versch. Sorten | UVP 1.99 | 1.29* | 1.11*"
"Getränke","Capri-Sun","동일","1.00","","-22%","1.00","","-22%","0,33 l | 3.03 / l | zzgl. Pfand 0.25€ | teilw. taurin- & koffeinhaltig, versch. Sorten | statt 1.29 | 1.–*","0,33 l | 3.03 / l | zzgl. Pfand 0.25€ | teilw. taurin- & koffeinhaltig, versch. Sorten | statt 1.29 | 1.–*"
"Getränke","Fruchtsaftgetränk","동일","1.29","","-18%","1.29","","-18%","1,5 l | 0.86 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 1.59 | 1.29*","1,5 l | 0.86 / l | zzgl. Pfand 0.25€ | versch. Sorten | statt 1.59 | 1.29*"
