Nr,Produkt,Aktionspreis,UVP,Einheit,Kategorie,Preis/Einheit,Ersparnis%,PLZ 40468,PLZ 44369
1,GUT PONHOLZ Hähnchen-Brustfilet,7.99€,9.99€,1 kg,Fleisch/Wurst,7.99€/kg,20%,✓,✓
2,Hofmaier Wiener Würstchen,5.49€,6.79€,6x50g,Fleisch/Wurst,18.30€/kg,19%,✓,✓
3,GUT PONHOLZ Gemischtes Hackfleisch,5.49€,6.99€,800g,Fleisch/Wurst,6.86€/kg,21%,✓,✓
4,GUT PONHOLZ Schweine-Schnitzel,3.49€,4.99€,500g,Fleisch/Wurst,6.98€/kg,30%,✓,✓
5,GUT PONHOLZ Schinken-Gulasch,2.99€,4.49€,500g,Fleisch/Wurst,5.98€/kg,33%,✓,✓
6,GUT PONHOLZ Schweine-Schälrippen,3.99€,5.99€,ca. 1kg,Fleisch/Wurst,3.99€/kg,33%,✓,✓
7,GUT PONHOLZ Puten-Schnitzel,4.49€,5.99€,500g,Fleisch/Wurst,8.98€/kg,25%,✓,✓
8,Gutes Land Delikatess Truthahn-Aufschnitt,1.99€,2.79€,200g,Fleisch/Wurst,9.95€/kg,29%,✓,✓
9,Ehrmann Grand Dessert,1.00€,1.69€,190g,Milch/Käse,5.26€/kg,41%,✓,✓
10,Philadelphia Frischkäse,0.88€,1.49€,175g,Milch/Käse,5.03€/kg,41%,✓,✓
11,Ehrmann Almighurt,0.29€,0.55€,150g,Milch/Käse,1.93€/kg,47%,✓,✓
12,Gutes Land Deutsche Markenbutter,1.99€,2.49€,250g,Milch/Käse,7.96€/kg,20%,✓,✓
13,Milram Kräuterquark,1.09€,1.59€,200g,Milch/Käse,5.45€/kg,31%,✓,✓
14,Milram Müritz Käse,1.29€,1.99€,150g,Milch/Käse,8.60€/kg,35%,✓,✓
15,Gutes Land Schlagsahne,0.89€,1.29€,200g,Milch/Käse,4.45€/L,31%,✓,✓
16,Speisekartoffeln HEIMAT,4.49€,5.99€,2.5kg,Obst/Gemüse,1.80€/kg,25%,✓,✓
17,Bananen,1.19€,1.49€,ca. 1kg,Obst/Gemüse,1.19€/kg,20%,✓,✓
18,Rispentomaten,1.49€,2.29€,500g,Obst/Gemüse,2.98€/kg,35%,✓,✓
19,Paprika Mix (rot/gelb/grün),1.79€,2.49€,500g,Obst/Gemüse,3.58€/kg,28%,✓,✓
20,Zwiebeln,1.29€,1.79€,2kg,Obst/Gemüse,0.65€/kg,28%,✓,✓
21,Champignons braun,1.29€,1.89€,400g,Obst/Gemüse,3.23€/kg,32%,✓,✓
22,Möhren,0.99€,1.49€,1kg,Obst/Gemüse,0.99€/kg,34%,✓,✓
23,Salatgurke,0.69€,0.99€,1 Stk.,Obst/Gemüse,0.69€/St.,30%,✓,✓
24,Tafeläpfel,1.99€,2.69€,2kg,Obst/Gemüse,1.00€/kg,26%,✓,✓
25,Trauben (kernlos),1.99€,2.99€,500g,Obst/Gemüse,3.98€/kg,33%,✓,✓
26,DELVERDE Pasta (versch. Sorten),0.83€,1.29€,500g,Vorrat/Konserven,1.66€/kg,36%,✓,✓
27,Knorr Sauce,1.00€,1.59€,250ml,Vorrat/Konserven,4.00€/L,37%,✓,✓
28,Erasco Eintopf,1.83€,2.59€,800g,Vorrat/Konserven,2.29€/kg,29%,✓,✓
29,Bautz'ner Senf mittelscharf,1.29€,1.89€,250ml,Vorrat/Konserven,5.16€/L,32%,✓,✓
30,Henglein Knöpfle,2.99€,4.69€,500g,Vorrat/Konserven,5.98€/kg,36%,✓,✓
31,Henglein Schupfnudeln,2.49€,3.49€,500g,Vorrat/Konserven,4.98€/kg,29%,✓,✓
32,Maggi 5-Minuten-Terrine,0.79€,1.19€,versch.,Vorrat/Konserven,,34%,✓,✓
33,Berliner Pilsner,9.99€,14.99€,20x0.5L,Getränke,1.00€/L,33%,✓,✓
34,Jacobs Krönung Kaffee,5.99€,8.49€,500g,Getränke,11.98€/kg,29%,✓,✓
35,Granini Trinkgenuss Saft,1.29€,1.99€,1L,Getränke,1.29€/L,35%,✓,✓
36,Adelholzener Mineralwasser,3.99€,5.49€,6x1L,Getränke,0.67€/L,27%,✓,✓
37,Ritter Sport Schokolade,1.11€,1.49€,100g,Süßwaren,11.10€/kg,26%,✓,✓
38,Knoppers (10er Pack),2.79€,3.99€,250g,Süßwaren,11.16€/kg,30%,✓,✓
39,HEIMAT Tiefkühl-Gemüse,1.29€,1.99€,450g,Tiefkühl,2.87€/kg,35%,✓,✓
40,GUT PONHOLZ Hähnchen-Nuggets,3.49€,4.99€,500g,Tiefkühl,6.98€/kg,30%,✓,✓
41,Freeway Cola,0.45€,0.65€,1.5L,Getränke,0.30€/L,31%,✓,✓
