대상주간,수집시각,요청우편번호,실제우편번호,체인,지점ID,지점,확인한URL,상태,수집상품수,누락이유,원문페이지수,확인페이지수
2026-09-14,2026-09-13T21:08:00+02:00,40468;40474,40235,METRO,branch-5724d1ed6ba7b3de,"METRO Düsseldorf, Schlüterstraße 3, 40235 Düsseldorf (최근접 공개 전단 지점, 지점별 가격 미확인)",https://prospekte.metro.de/3985/3358171/pdfs/baab6bde-6878-4c62-ac20-a0e1ef09d3b9.pdf,일부수집,4,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,40468,40468,ALDI SÜD,branch-f2fe2ff148c4626c,"ALDI SÜD, An der Piwipp 86, 40468 Düsseldorf (공식 전단 기준, 지점별 가격 미확인)",https://www.aldi-sued.de/angebote/2026-09-18,일부수집,6,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,40468,40468,REWE,branch-79e3c0c20871fd23,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,일부수집,20,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,40468,40472,EDEKA,branch-a33ba57e7791f9e4,"EDEKA Buller, Matthiaskirchweg 6, 40472 Düsseldorf (40468 근접 대표)",https://www.edeka.de/maerkte/071158/,일부수집,12,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,40468,40472,Lidl,branch-7cd348bd92626483,"Lidl, Marler Str. 4, 40472 Düsseldorf (최근접 전단 지점, 지점별 가격 미확인)",https://www.lidl.de/l/prospekte/aktionsprospekt-14-09-2026-19-09-2026-6e9cc6/view/flyer/page/1?_ab=1&lf=HHZ,일부수집,10,76면 중 레시피 연결 식재료가 있는 1·2·7면을 공식 화면에서 재검증,76,3
2026-09-14,2026-09-13T21:08:00+02:00,40474,40474,ALDI SÜD,branch-17d4d8ed299690c5,"ALDI SÜD, Niederrheinstraße 158-166, 40474 Düsseldorf (공식 전단 기준, 지점별 가격 미확인)",https://www.aldi-sued.de/angebote/2026-09-18,일부수집,6,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,40474,40474,EDEKA,branch-269dad5325a916e4,"EDEKA Prömpers, Niederrheinstraße 84-88, 40474 Düsseldorf",https://www.edeka.de/maerkte/071065/,일부수집,12,공식 지점 상품 카드 중 레시피 연결 식재료를 재검증,,
2026-09-14,2026-09-13T21:08:00+02:00,40468;40474,40476,Kaufland,branch-0afb82785507a281,"Kaufland Düsseldorf-Derendorf, Hilde-und-Joseph-Neyses-Platz 5, 40476 Düsseldorf (최근접 전단 지점, 지점별 가격 미확인)",https://assets.leaflets.schwarz/leaflets/pdfs/01a07b07-adc6-76c0-8b49-38246d0e6357/Prospekt-14-09-2026-16-09-2026-00.pdf,일부수집,120,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
2026-09-14,2026-09-13T21:08:00+02:00,40474,40489,Lidl,branch-063d7ebb9016057e,"Lidl, Pfarrer-Holl-Weg 21, 40489 Düsseldorf (최근접 전단 지점, 지점별 가격 미확인)",https://www.lidl.de/l/prospekte/aktionsprospekt-14-09-2026-19-09-2026-6e9cc6/view/flyer/page/1?_ab=1&lf=HHZ,일부수집,10,76면 중 레시피 연결 식재료가 있는 1·2·7면을 공식 화면에서 재검증,76,3
2026-09-14,2026-09-13T21:08:00+02:00,44369,44145,Kaufland,branch-3bef4939a29657c1,"Kaufland Dortmund-Innenstadt-Nord, Bornstraße 160 a, 44145 Dortmund (최근접 활성 전단 지점, 지점별 가격 미확인)",https://assets.leaflets.schwarz/leaflets/pdfs/01a07b00-d190-7727-a471-2fec9cfef9bf/Prospekt-14-09-2026-16-09-2026-00.pdf,일부수집,120,공식 자료 중 레시피 연결 식재료를 우선 재검증; 전체 전단 미완료,,
