수집시각,체인,지점,우편번호,카테고리,행사기간,상품명,상품정보,행사가격,앱가격,할인율,기준가격,출처,검색우편번호,도시,가격적용단위,할인조건,원문근거,검토상태,정상가격,원본행
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,3 Glocken Genuss Pur Pasta,je 500-g-Btl.,0.99,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,500 g,,REWE An der Piwipp 공식 지점 상품 카드: 3 Glocken Genuss Pur Pasta; 500 g; 0.99 EUR. Bonus 적립 제외 일반 행사가.,verified,,2
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,음료,14.09.2026-20.09.2026,Alpro Barista Hafer Drink,je 1-l-Pckg.,1.49,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,3
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Bifi Chicken High Protein,je 100-g-Pckg.,1.99,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,4
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,주류,14.09.2026-20.09.2026,Bitburger Stubbi oder alkoholfrei,"20 x 0,33-l-Fl.-Kasten, zzgl. Pfand",18.98,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,5
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Chio Tortillas Nacho Cheese,je 110-g-Btl.,1.19,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,6
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Exquisa Der Sahnige,je 200-g-Pckg.,1.19,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,7
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Feige,"Kl. I, je St.",0.29,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,8
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Frisches Hähnchen Brustfilet,"Teilstück, SB-verpackt, je 1 kg",11.99,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,1 kg,,REWE An der Piwipp 공식 지점 상품 카드: Frisches Hähnchen Brustfilet; 1 kg; 11.99 EUR. Bonus 적립 제외 일반 행사가.,verified,,9
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Heinz Curry Mango Sauce,je 220-ml-Fl.,1.49,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,10
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Iglo Schlemmerfilet Bordelaise Classic,je 380-g-Pckg.,2.99,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,11
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,주류,14.09.2026-20.09.2026,Jack Daniel’s Tennessee Whiskey,"40% Vol., je 0,7-l-Fl.",14.49,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,12
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Kühne Gewürzgurken,je 670-g-Glas,1.79,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,13
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Leibniz Choco Minis oder Mini Cookies,je 125-g-Btl.,1.49,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,14
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Maggi 5 Minuten Terrine XL Spaghetti Bolognese,je 81-g-Becher,1.19,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,15
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,음료,14.09.2026-20.09.2026,Monster Energy Drink,"je 0,5-l-Dose, zzgl. Pfand",0.99,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,16
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Mövenpick Gourmet Fruchtaufstrich,je 250-g-Glas,2.22,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,17
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Original Wagner Flammkuchen Elsässer Art,"tiefgefroren, je 300-g-Pckg.",1.79,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,18
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,식품,14.09.2026-20.09.2026,Original Wagner Steinofen Pizza Salami,"tiefgefroren, je 320-g-Pckg.",1.79,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,19
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,음료,14.09.2026-20.09.2026,Pepsi,"je 1,25-l-Fl., zzgl. Pfand",0.79,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,20
2026-09-13 21:08 Europe/Berlin,REWE,"REWE An der Piwipp 120, 40468 Düsseldorf (지점 확인)",40468,음료,14.09.2026-20.09.2026,Valensina Saft,je 1-l-Fl.,1.79,,,,https://www.rewe.de/angebote/duesseldorf/8322016/rewe-markt-an-der-piwipp-120/,40468,Düsseldorf,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,21
2026-09-13 21:08 Europe/Berlin,REWE,"REWE H. Amshove, Varziner Str. 7-17, 44369 Dortmund (지점 확인)",44369,식품,14.09.2026-20.09.2026,Bauer Biergartenkäse,"Weichkäse, 45% i.Tr., je 150-g-Pckg.",1.99,,,"13,27 €/kg",https://www.rewe.de/angebote/dortmund/1762800/rewe-markt-varziner-str-7-17/,44369,Dortmund,판매 단위 확인,공식 원문 재검증 대기,"원본 수집 행 보존. 재검증 대기, 자동 가격 제외.",held,,22
